,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
1,Justin Abdelkader\abdelju01,32,DET,LW,49,348,439,44.2,-1.9,267,316,45.8,0.0,3.2,91.3,94.6,43.3,56.7,11:32,9:48,10,18,-5.2,76,52.6
2,Pontus Aberg\abergpo01,26,TOR,LW,5,31,50,38.3,-18.2,19,40,32.2,-22.4,9.1,96.2,105.2,60.0,40.0,8:42,8:42,1,2,-0.8,5,80.0
3,Vitaly Abramov\abramvi01,21,OTT,RW,2,11,17,39.3,-14.7,9,12,42.9,-11.8,16.7,87.5,104.2,33.3,66.7,5:47,5:47,0,1,-0.3,4,75.0
4,Noel Acciari\acciano01,28,FLA,C,66,790,894,46.9,-3.5,590,639,48.0,-2.5,10.1,90.6,100.7,38.6,61.4,15:57,13:08,32,21,-6.3,189,57.1
5,Andrew Agozzino\agozzan01,29,TOT,LW,22,127,104,55.0,8.0,92,77,54.4,7.4,11.7,93.5,105.2,53.4,46.6,7:21,6:49,5,4,-0.6,18,55.6
6,Sebastian Aho\ahose01,22,CAR,F,68,1093,830,56.8,3.8,827,664,55.5,2.8,10.3,88.1,98.4,58.5,41.5,19:25,14:40,71,58,10.0,333,61.9
7,Karl Alzner\alzneka01,31,MTL,D,4,41,31,56.9,0.4,26,23,53.1,-1.8,5.6,88.2,93.8,55.6,44.4,13:55,13:11,0,1,0.6,6,66.7
8,Michael Amadio\amadimi01,23,LAK,C,68,801,664,54.7,1.8,607,514,54.1,1.6,6.6,89.4,96.0,50.2,49.8,13:01,11:24,31,25,2.4,164,60.4
9,Joey Anderson\anderjo08,21,NJD,RW,18,148,215,40.8,-0.9,115,154,42.8,0.6,9.8,92.5,102.3,39.2,60.8,13:13,11:08,4,7,-0.1,39,53.8
10,Josh Anderson\anderjo05,25,CBJ,RW,26,297,330,47.4,-2.7,230,238,49.1,-3.7,6.5,89.2,95.7,53.6,46.4,16:04,12:25,9,12,-0.7,98,64.3
11,Michael Anderson\andermi02,20,LAK,D,6,82,111,42.5,-6.1,63,75,45.7,-0.7,14.9,96.0,110.9,42.6,57.4,18:09,16:46,0,2,0.1,16,56.3
12,Jaret Anderson-Dolan\anderja01,20,LAK,C,4,35,31,53.0,-2.8,28,26,51.9,-4.1,0.0,94.1,94.1,60.0,40.0,10:16,10:03,0,2,-1.6,3,66.7
13,Lias Andersson\anderli01,21,NYR,C,17,79,133,37.3,-6.7,68,103,39.8,-5.0,4.4,86.1,90.6,46.3,53.7,9:33,7:29,8,4,-3.2,14,92.9
14,Rasmus Andersson\anderra01,23,CGY,D,70,1203,1115,51.9,2.2,921,869,51.5,2.7,7.9,91.1,98.9,54.6,45.4,19:56,17:22,19,39,7.1,218,56.9
15,Andy Andreoff\andrean01,28,PHI,LW,14,99,100,49.7,-2.4,81,74,52.3,1.1,4.8,88.7,93.4,51.6,48.4,8:32,8:32,1,0,-0.8,19,73.7
16,Anthony Angello\angelan01,23,PIT,C,8,35,47,42.7,-2.8,28,36,43.8,-2.0,9.1,92.6,101.7,45.5,54.5,5:43,5:39,1,0,-0.5,7,71.4
17,Artem Anisimov\anisiar01,31,OTT,C,49,549,616,47.1,-0.8,394,459,46.2,-2.0,7.3,90.2,97.5,53.4,46.6,13:51,12:01,19,16,-3.2,177,49.2
18,Mason Appleton\applema01,24,WPG,C,46,404,411,49.6,0.3,308,317,49.3,1.4,5.1,90.8,95.9,47.0,53.0,11:10,10:06,11,10,-2.3,92,59.8
19,Josh Archibald\archijo01,27,EDM,RW,62,535,674,44.3,-4.1,406,476,46.0,-2.5,8.9,89.5,98.4,43.0,57.0,13:14,10:38,24,11,-5.7,119,53.8
20,Joel Armia\armiajo01,26,MTL,RW,58,790,747,51.4,-4.8,587,575,50.5,-5.5,9.0,90.3,99.2,52.9,47.1,17:14,13:30,47,27,3.4,265,58.5
21,Viktor Arvidsson\arvidvi01,26,NSH,LW,57,750,748,50.1,-0.7,558,569,49.5,-2.5,8.2,92.0,100.1,54.5,45.5,16:12,13:09,15,24,-5.7,263,48.3
22,Rasmus Asplund\asplura01,22,BUF,F,29,203,219,48.1,-2.5,161,181,47.1,-3.1,6.1,91.4,97.5,36.5,63.5,10:50,8:60,5,7,-1.1,44,81.8
