Team,Season,GP,FO,EV FO,PP FO,SH FO,OZ FO,NZ FO,DZ FO,FOW%,EV FOW%,PP FOW%,SH FOW%,OZ FOW%,NZ FOW%,DZ FOW%
Philadelphia Flyers,20182019,82,"4,818","3,952",449,417,"1,578","1,560","1,713",54.7,54,64.1,51.6,53.4,52.8,56.7
Toronto Maple Leafs,20182019,82,"4,959","4,210",385,364,"1,709","1,612","1,670",53,53.2,54,50,53.7,50.9,53.3
Calgary Flames,20182019,82,"4,755","3,868",452,435,"1,708","1,633","1,509",52.4,52.5,52.2,51,52.2,50,51.9
Dallas Stars,20182019,82,"4,875","4,069",381,425,"1,561","1,514","1,819",51.9,52.4,52.5,46.6,52.4,50.9,51.7
Nashville Predators,20182019,82,"4,922","4,031",455,436,"1,740","1,672","1,658",51.5,52.2,50.6,46.6,49.8,47.7,52.7
St. Louis Blues,20182019,82,"4,767","3,991",388,388,"1,640","1,579","1,582",51.4,51.4,55.7,47.4,51.4,49.5,52.2
Anaheim Ducks,20182019,82,"4,663","3,769",384,510,"1,513","1,565","1,679",51.3,51.3,56.5,47.7,49.6,51.3,50
Tampa Bay Lightning,20182019,82,"4,921","4,005",430,486,"1,649","1,565","1,718",51.2,51.4,54.2,47.3,52.7,50.2,50.4
Detroit Red Wings,20182019,82,"5,058","4,251",387,420,"1,658","1,657","1,787",50.8,50.7,53.2,48.8,49.7,49.7,51.5
Boston Bruins,20182019,82,"4,840","4,002",418,420,"1,747","1,650","1,577",50.7,50.2,59.8,46.4,50.2,47.3,50.6
Winnipeg Jets,20182019,82,"4,860","3,910",459,491,"1,741","1,659","1,545",50.7,51,52.1,46.8,50.7,48.3,50.5
Pittsburgh Penguins,20182019,82,"4,908","4,113",415,380,"1,618","1,551","1,690",50.6,50.2,56.9,48.2,53.1,51.1,49.2
Los Angeles Kings,20182019,82,"4,776","3,948",419,409,"1,556","1,549","1,700",50.5,50.1,56.1,48.4,48.5,48.3,53.4
Vegas Golden Knights,20182019,82,"4,923","4,070",440,413,"1,836","1,702","1,543",50.4,50.5,48.2,51.3,50.2,46.3,50
San Jose Sharks,20182019,82,"4,722","3,891",432,399,"1,634","1,613","1,439",50.3,50.6,52.1,45.9,50.7,50.1,51.4
Columbus Blue Jackets,20182019,82,"4,844","4,111",394,339,"1,706","1,651","1,621",50.3,50.7,50.5,44.3,48,46.2,52.6
Florida Panthers,20182019,82,"5,072","4,181",487,404,"1,719","1,706","1,624",49.8,49.5,53.6,48.8,49.6,49.2,51.5
Ottawa Senators,20182019,82,"4,815","4,027",383,405,"1,489","1,548","1,707",49.6,50.2,50.7,42.5,50.6,52.5,48.2
Vancouver Canucks,20182019,82,"4,857","4,010",416,431,"1,609","1,508","1,750",49.5,49.7,51,46.6,50.3,47,50.6
Chicago Blackhawks,20182019,82,"4,760","3,936",399,425,"1,649","1,541","1,552",49.5,49.3,54.4,46.8,52,48.7,48.2
Montréal Canadiens,20182019,82,"4,932","4,075",403,454,"1,708","1,684","1,625",49.4,48.9,54.6,49.8,48.4,47.7,49.7
Minnesota Wild,20182019,82,"4,869","3,994",446,429,"1,678","1,638","1,638",49.4,49.1,55.2,46.4,50,48.8,46.8
New Jersey Devils,20182019,82,"4,900","3,997",476,427,"1,522","1,541","1,819",49.4,48.9,53.8,48.2,49.6,50.2,48.9
Carolina Hurricanes,20182019,82,"4,968","4,089",467,412,"1,808","1,716","1,568",49,49.4,52,42.5,49.3,46.6,47.5
Edmonton Oilers,20182019,82,"4,810","3,974",377,459,"1,553","1,526","1,720",48.4,48.8,48.8,44.7,48,47.1,50.2
Colorado Avalanche,20182019,82,"4,875","3,853",520,502,"1,774","1,612","1,598",48.1,47.7,53.7,46,49.1,44,47.9
Buffalo Sabres,20182019,82,"4,872","4,043",437,392,"1,683","1,644","1,663",47.9,47.6,55.2,43.4,45.5,44.2,50.6
Arizona Coyotes,20182019,82,"4,818","3,965",455,398,"1,672","1,649","1,673",47.9,48,47.3,47.5,46.1,45.4,47.1
New York Islanders,20182019,82,"4,477","3,725",375,377,"1,442","1,423","1,576",47.4,47.9,49.3,41.1,48.5,47.9,47.1
New York Rangers,20182019,82,"4,663","3,821",391,451,"1,479","1,542","1,642",46.9,46.8,51.2,44.6,46.6,48.8,45.5
Washington Capitals,20182019,82,"4,723","3,843",429,451,"1,607","1,604","1,581",45.7,45.6,45.7,46.8,43.8,43.7,47.8
